"GB","MB","Path"
"23.12","23673","C:\pagefile.sys"
"3.98","4072","C:\Users\70641\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel\2025.8.8.1141\weights.bin"
"1.2","1230","C:\Users\70641\AppData\Local\Thunder Network\ldplayer\pre_ldplayer\system.vmdk"
"0.76","774","C:\Users\70641\AppData\Roaming\Python\Python313\site-packages\torch\lib\torch_cuda.dll"
"0.73","749","C:\ProgramData\Microsoft\Windows\Containers\ContainerStorages\891758ac-bf23-479b-838b-ce1d3601776c\sandbox.vhdx"
"0.72","741","C:\Program Files\Docker\Docker\resources\wsl\docker-wsl-cli.iso"
"0.7","716","C:\Users\70641\wasicore-learner\src-tauri\target\debug\deps\wasicore_learner_lib.lib"
"0.7","718","C:\Program Files\Docker\Docker\resources\docker-desktop.iso"
"0.68","695","C:\Users\70641\AppData\Local\JianyingPro\Apps\10.6.0.14057\onnxruntime_providers_cuda.dll"
"0.63","643","C:\Users\70641\AppData\Roaming\Python\Python313\site-packages\torch\lib\cublasLt64_12.dll"
"0.54","556","C:\Users\70641\AppData\Local\JianyingPro\User Data\ComponentStore\onnxruntime_gpu\1.0.2\cudnn_cnn_infer64_8.dll"
"0.54","550","C:\Users\70641\.claude\cc-haha\traces\225babe7-61fa-4abb-8bbb-f76456aa321b.jsonl"
"0.52","535","C:\Users\70641\.claude\cc-haha\traces\87f6c7b8-5e4f-4178-862c-daba782d77db.jsonl"
"0.51","527","C:\Users\70641\.claude\cc-haha\traces\920288d5-1f7e-4619-bc50-d7fd91357738.jsonl"
"0.5","514","C:\Program Files\NVIDIA Corporation\NVIDIA Video Effects\cublasLt64_12.dll"
"0.5","507","C:\Users\70641\AppData\Local\JianyingPro\User Data\ComponentStore\onnxruntime_gpu\1.0.2\cublasLt64_12.dll"
