"GB","MB","Path"
"283.13","289926","C:\"
"130.95","134098","C:\Users"
"129.94","133062","C:\Users\70641"
"67.91","69535","C:\Users\70641\AppData"
"41.71","42707","C:\Windows"
"41.04","42021","C:\Users\70641\AppData\Local"
"39.48","40425","C:\Program Files"
"31.03","31775","C:\ProgramData"
"26.82","27467","C:\Users\70641\AppData\Roaming"
"21.82","22340","C:\ProgramData\Microsoft"
"19.92","20397","C:\ProgramData\Microsoft\Windows"
"19.91","20393","C:\ProgramData\Microsoft\Windows\Containers"
"18.66","19103","C:\ProgramData\Microsoft\Windows\Containers\Layers"
"15","15363","C:\Users\70641\.claude"
"14.63","14978","C:\Windows\WinSxS"
"14.39","14740","C:\Program Files (x86)"
"13.57","13896","C:\ProgramData\Microsoft\Windows\Containers\Layers\bf5c1c37-2957-4baa-bc06-d968b13b0975"
"13.52","13843","C:\Windows\System32"
"13.5","13821","C:\ProgramData\Microsoft\Windows\Containers\Layers\bf5c1c37-2957-4baa-bc06-d968b13b0975\Files"
"13.34","13663","C:\ProgramData\Microsoft\Windows\Containers\Layers\bf5c1c37-2957-4baa-bc06-d968b13b0975\Files\Windows"
"8.71","8919","C:\Users\70641\.claude\cc-haha\traces"
"8.71","8919","C:\Users\70641\.claude\cc-haha"
"8.46","8664","C:\Users\70641\AppData\Local\Programs"
"8.26","8460","C:\Windows\System32\DriverStore\FileRepository"
"8.26","8461","C:\Windows\System32\DriverStore"
"7.83","8016","C:\Users\70641\cc-haha-worktrees"
"7.18","7348","C:\ProgramData\Microsoft\Windows\Containers\Layers\bf5c1c37-2957-4baa-bc06-d968b13b0975\Files\Windows\WinSxS"
"6.62","6774","C:\Windows\Installer"
"6.48","6640","C:\Users\70641\AppData\Local\uv"
"6.48","6640","C:\Users\70641\AppData\Local\uv\cache"
"6.32","6468","C:\Users\70641\AppData\Roaming\Python"
"6.32","6468","C:\Users\70641\AppData\Roaming\Python\Python313"
"6.29","6436","C:\Users\70641\AppData\Local\uv\cache\archive-v0"
"6.24","6391","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.6"
"6.24","6391","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA"
"6.24","6391","C:\Program Files\NVIDIA GPU Computing Toolkit"
"6.21","6363","C:\Users\70641\AppData\Roaming\Python\Python313\site-packages"
"6.11","6256","C:\Users\70641\AppData\Roaming\Tencent"
"5.57","5703","C:\Users\70641\AppData\Local\Google"
"5.48","5615","C:\Users\70641\AppData\Local\Google\Chrome"
"5.48","5615","C:\Users\70641\AppData\Local\Google\Chrome\User Data"
"5.28","5403","C:\Program Files\Adobe"
"5.28","5409","C:\Users\70641\wasicore-learner"
"5.16","5282","C:\Program Files\Adobe\Adobe Photoshop 2026"
"5.14","5261","C:\Users\70641\wasicore-learner\src-tauri"
"5.14","5259","C:\Users\70641\wasicore-learner\src-tauri\target"
"5.08","5207","C:\ProgramData\Microsoft\Windows\Containers\Layers\953a43b2-d004-4b6d-99e1-0ab0b948d802"
"5.01","5133","C:\ProgramData\Microsoft\Windows\Containers\Layers\953a43b2-d004-4b6d-99e1-0ab0b948d802\Files"
"4.97","5093","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.6\bin"
"4.89","5010","C:\ProgramData\Microsoft\Windows\Containers\Layers\953a43b2-d004-4b6d-99e1-0ab0b948d802\Files\Windows"
"4.88","4994","C:\Users\70641\cc-haha"
"4.26","4361","C:\Users\70641\AppData\Local\JianyingPro"
"4.11","4211","C:\Users\70641\AppData\Roaming\Python\Python313\site-packages\torch"
"3.99","4082","C:\Users\70641\AppData\Roaming\Python\Python313\site-packages\torch\lib"
"3.98","4072","C:\Users\70641\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel"
"3.98","4072","C:\Users\70641\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel\2025.8.8.1141"
"3.92","4018","C:\Users\70641\.claude\projects"
"3.91","4007","C:\Program Files\Docker"
"3.83","3922","C:\Program Files\NVIDIA Corporation"
"3.7","3791","C:\Users\70641\wasicore-learner\src-tauri\target\debug"
"3.56","3647","C:\Program Files\Adobe\Adobe Photoshop 2026\Required"
"3.29","3365","C:\Program Files\Docker\Docker"
"3.18","3256","C:\Program Files\dotnet"
"3.13","3201","C:\Users\70641\.vscode\extensions"
"3.13","3201","C:\Users\70641\.vscode"
"2.98","3054","C:\Users\70641\cc-haha\desktop"
"2.97","3043","C:\Users\70641\AppData\Local\Temp"
